number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_freeze,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
225,0.2685749233301508,185,0.1147511449719376,0.145607839719459,0.2201898999458144,no freeze,0.00030327098917882247,3,928,1760.0,1888.0
129,0.26872892386216574,151,0.11675441618217905,0.17082586092921845,,no freeze,0.00020896652533807685,2,672,2016.0,
2,0.2696167356352978,134,0.10362805556400649,,,no freeze,0.00034720271895209254,1,672,,
70,0.2709692104364728,123,0.13102325207692017,0.15200777567811657,0.17918585358809272,no freeze,0.00042771907752879194,3,1248,2016.0,1312.0
110,0.2719690990538894,145,0.11503969864970462,0.14984127768805738,0.16807269882512785,no freeze,0.00020461408501627095,3,1312,1952.0,1632.0
193,0.272079668847205,127,0.1054099713701445,0.157713721633522,,no freeze,0.000272660097013495,2,672,2080.0,
61,0.2720843308728825,76,0.13764260860419375,0.14711445052416125,0.1884853292858424,no freeze,0.00024179040972966575,3,1184,1952.0,1504.0
75,0.27307002662702334,83,0.11712425113379385,0.15409344550076678,0.20388230809797755,no freeze,0.00024214652748132592,3,1248,1760.0,1760.0
431,0.2733525157154035,57,0.12413119778909322,0.3290961881153249,0.17821163601617965,no freeze,0.0001484855814619897,3,672,1952.0,1760.0
538,0.27338724553262383,102,0.1268419800615215,0.14873070397635801,0.2377604626154246,no freeze,0.0002561575346921387,3,1184,1952.0,1440.0
334,0.2739746659044017,126,0.1390279512615736,0.14689985658964683,0.1519213845465881,no freeze,0.00020359681252311772,3,736,1248.0,1568.0
165,0.27457813757291494,135,0.10353187257174762,0.12479904727840452,0.16348656004233778,no freeze,0.00029201712938990633,3,1120,1888.0,1504.0
1140,0.27676527716602123,168,0.13892705784318735,0.134330463811672,0.15609513448499085,no freeze,0.00033707091660730554,3,1440,1952.0,1760.0
10836,0.2768608680599324,87,0.2366326462892456,0.1898974416523826,0.16984772599410256,no freeze,0.0002527903271485138,3,1312,1824.0,1824.0
18965,0.2777177643718855,52,0.1074834241649172,0.10910792894037995,0.13673195895673815,no freeze,0.0002497068194493428,3,1312,1824.0,1952.0
7908,0.27924968346348916,119,0.12599113373491172,0.18083633162264576,0.13750456092969612,no freeze,0.000250786896392795,3,608,1632.0,1888.0
14767,0.27967744279653944,93,0.11924156803712817,0.19775698427482746,0.3828422889466392,no freeze,0.00042874931701517157,3,1504,1632.0,1568.0
230,0.2804034948684084,233,0.11860963241170643,0.17684293413543622,0.15267481471637098,no freeze,0.000232497269696977,3,1056,2016.0,1312.0
446,0.2807610528920659,133,0.16181117106483864,0.20390511012800677,0.16023403556714372,no freeze,0.0003206875948761619,3,608,1632.0,1888.0
1293,0.28094869205892453,172,0.10840288237562958,0.16538064093431998,,no freeze,0.00034544372766098975,2,1376,2080.0,
279,0.28098711937082316,75,0.10790559523298597,0.15225196425169144,0.1759754287947756,no freeze,0.00029228850277996776,3,736,2016.0,1568.0
1663,0.2820118782312585,71,0.23598087470695633,0.2486797453343422,0.16276938371095306,no freeze,0.00017181656792977649,3,1312,1952.0,1760.0
7621,0.2822075147405293,287,0.20346512032754066,0.11322072950614341,0.28439415959092207,no freeze,0.00019941308482329873,3,480,2080.0,2016.0
1157,0.2825575172709142,538,0.10546363547014415,0.4394403119300671,0.1761333114628086,no freeze,0.00020655951034710785,3,736,2080.0,1440.0
2955,0.28264005645492773,431,0.10725512556783962,0.11903879529122356,0.16076914933766837,no freeze,0.0002705184635172204,3,1504,1696.0,1824.0
326,0.28269672329502404,328,0.2829507655398856,0.1890657321587214,0.1701640552933376,no freeze,0.0002671344335143731,3,800,1888.0,1632.0
1418,0.28324622437290636,428,0.12465996585898743,0.1340589993636495,0.17122094416359887,no freeze,0.00024954212163473446,3,1184,1760.0,1504.0
6,0.2841851606834057,432,0.3350982423161073,0.3549105512820585,,freeze,9.255602751861048e-05,2,1632,1184.0,
6127,0.28423954010931823,104,0.11842565177853309,0.15464768769393997,0.19489735980805814,no freeze,0.00025115747414237305,3,800,1952.0,1376.0
9351,0.2847580712321249,327,0.11171228416303726,0.12531071799121127,0.16231613381071275,no freeze,0.0002970283641321153,3,928,2080.0,1824.0
