number,value,params_EPOCHS,params_lr
11086,1.0035500951858722,125,0.005963098681187642
5959,1.0221429687906618,265,0.02433085794784782
9738,1.038050596940739,633,0.020921240058724668
6186,1.081372744072179,132,0.012113610023650847
4404,1.1021104176195742,620,0.013026502927672436
2818,1.1148850691484726,538,0.010385294723422585
7439,1.1216787881614332,614,0.029042105508938904
2289,1.1593814932589588,622,0.011102110920497238
5969,1.195323951679953,625,0.013873242785412496
103,1.2595833350365302,479,0.01227545171649238
4252,1.3165693863746681,483,0.014605413607086285
1268,1.3178639670418946,564,0.008916694591720724
5974,1.7323256291607254,240,0.013592842579750485
10413,1.7466105785946517,670,0.01822543287137058
