number,value,params_EPOCHS,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_freeze,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2
62,0.2589109973135981,573,0.25838799349754726,0.10865112633833932,0.11948241228833845,freeze,0.00017190915502046563,3,1632,1632.0,672.0
195,0.25906255726375566,455,0.1875863942899036,0.1763591272201816,0.21285736457286888,no freeze,9.883272835240472e-05,3,608,2144.0,1312.0
206,0.2593200506774469,403,0.10600928779853253,0.2432251885023627,0.1630576858069948,no freeze,0.00011897581132712314,3,352,2080.0,1248.0
154,0.259373193901165,501,0.20343908944345407,0.16022089057488734,0.10364376095359344,no freeze,7.780449841297611e-05,3,416,2016.0,1504.0
2184,0.25958526945032273,377,0.10492848102685474,0.13084912272650703,0.16721080643471928,no freeze,0.00020279489597718785,3,352,2144.0,608.0
20202,0.2598481607925374,386,0.19621729493133425,0.10543959963254339,0.13080672584055586,no freeze,0.0002943592691921437,3,416,1312.0,864.0
12712,0.259881704683542,410,0.12050279663936145,0.21701253360545825,0.13623614817204546,no freeze,0.00025636446169263733,3,352,2080.0,1760.0
135,0.25999178828315256,554,0.18685612693437026,0.10815662933973694,0.13313181862581547,no freeze,9.630825838967779e-05,3,352,1952.0,1440.0
5053,0.26005812498882364,420,0.19686803048356627,0.10578496515803558,0.2170899645640149,no freeze,0.00017083876009449516,3,480,2016.0,1312.0
23322,0.26021652035678083,119,0.1507469203785553,0.1848357969592387,0.15048539370801525,no freeze,0.000222675350396464,3,416,2080.0,1376.0
155,0.2605296983938603,413,0.19969399987910447,0.1110932899679208,0.11177244342900698,no freeze,8.058218844120086e-05,3,672,1824.0,1952.0
105,0.26112986795026644,440,0.19548766702696943,0.10542344732999394,0.10543796834535916,no freeze,7.915537719425728e-05,3,352,1952.0,1312.0
288,0.26126483530217226,451,0.1280652770368503,0.11357790860167782,0.13952196515792695,no freeze,0.00011538523916446497,3,480,2016.0,1312.0
